Customer_ID,Movie_Name,Movie_Genre,Movie_Length,Start_Time,End_Time
1234,Shrek,Kids,2.52,12/31/2013 13:33,12/31/2013 16:04
2345,The Ring,Horror,3,1/6/2014 17:22,1/6/2014 17:29
1122,Anchorman,Comedy,3.63,1/2/2014 17:38,1/2/2014 20:52
4567,Up,Kids,3.33,1/6/2014 21:38,1/7/2014 0:56
2345,Die Hard,Action,2.94,12/30/2013 22:37,12/31/2013 1:30
1234,Borat,Comedy,2.52,1/3/2014 17:29,1/3/2014 18:34
7890,Aliens,Action,3.26,1/2/2014 2:52,1/2/2014 5:21
1122,Toy Story,Kids,3.13,1/1/2014 2:52,1/1/2014 5:58
2345,Neverending Story,Kids,3.25,1/9/2014 22:20,1/10/2014 1:35
3344,Mothman Prophecies,Horror,3.73,12/29/2013 17:32,12/29/2013 18:33
4455,The Hangover,Comedy,2.78,12/29/2013 21:04,12/29/2013 23:49
4455,The Avengers,Action,2.99,1/7/2014 19:30,1/7/2014 22:06
6677,Airplane!,Comedy,3.24,12/29/2013 1:45,12/29/2013 4:59
9900,The Sixth Sense,Horror,3.27,12/30/2013 6:04,12/30/2013 6:27
1112,The Silence of the Lambs,Horror,3.67,1/5/2014 6:07,1/5/2014 7:19
6677,The Matrix,Action,3.59,1/1/2014 9:33,1/1/2014 11:33
3334,Up,Kids,2.55,1/1/2014 20:38,1/1/2014 23:09
